classifierClassName	filterClassName	featureSetSize	wAuc
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	8	0.86897
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	9	0.866587
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	10	0.867183
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	20	0.917808
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	50	0.904581
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	100	0.913983
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	200	0.930449
weka.classifiers.lazy.IBk	weka.attributeSelection.InfoGainAttributeEval	5	0.940739
weka.classifiers.lazy.IBk	weka.attributeSelection.InfoGainAttributeEval	6	0.946099
weka.classifiers.lazy.IBk	weka.attributeSelection.InfoGainAttributeEval	7	0.957117
weka.classifiers.lazy.IBk	weka.attributeSelection.InfoGainAttributeEval	8	0.932698
weka.classifiers.lazy.IBk	weka.attributeSelection.InfoGainAttributeEval	9	0.930911
weka.classifiers.lazy.IBk	weka.attributeSelection.InfoGainAttributeEval	10	0.933294
weka.classifiers.lazy.IBk	weka.attributeSelection.InfoGainAttributeEval	20	0.928231
weka.classifiers.lazy.IBk	weka.attributeSelection.InfoGainAttributeEval	50	0.95682
weka.classifiers.lazy.IBk	weka.attributeSelection.InfoGainAttributeEval	100	0.953842
weka.classifiers.lazy.IBk	weka.attributeSelection.InfoGainAttributeEval	200	0.955033
weka.classifiers.lazy.IBk	weka.attributeSelection.ChiSquaredAttributeEval	5	0.860631
weka.classifiers.lazy.IBk	weka.attributeSelection.ChiSquaredAttributeEval	6	0.928529
weka.classifiers.lazy.IBk	weka.attributeSelection.ChiSquaredAttributeEval	7	0.933889
weka.classifiers.lazy.IBk	weka.attributeSelection.ChiSquaredAttributeEval	8	0.935378
weka.classifiers.lazy.IBk	weka.attributeSelection.ChiSquaredAttributeEval	9	0.940143
weka.classifiers.lazy.IBk	weka.attributeSelection.ChiSquaredAttributeEval	10	0.93508
weka.classifiers.lazy.IBk	weka.attributeSelection.ChiSquaredAttributeEval	20	0.972007
weka.classifiers.lazy.IBk	weka.attributeSelection.ChiSquaredAttributeEval	50	0.961584
weka.classifiers.lazy.IBk	weka.attributeSelection.ChiSquaredAttributeEval	100	0.92168
weka.classifiers.lazy.IBk	weka.attributeSelection.ChiSquaredAttributeEval	200	0.965158
weka.classifiers.lazy.IBk	weka.attributeSelection.GainRatioAttributeEval	5	0.816855
weka.classifiers.lazy.IBk	weka.attributeSelection.GainRatioAttributeEval	6	0.803752
weka.classifiers.lazy.IBk	weka.attributeSelection.GainRatioAttributeEval	7	0.808815
weka.classifiers.lazy.IBk	weka.attributeSelection.GainRatioAttributeEval	8	0.80405
weka.classifiers.lazy.IBk	weka.attributeSelection.GainRatioAttributeEval	9	0.904705
weka.classifiers.lazy.IBk	weka.attributeSelection.GainRatioAttributeEval	10	0.90411
weka.classifiers.lazy.IBk	weka.attributeSelection.GainRatioAttributeEval	20	0.901429
weka.classifiers.lazy.IBk	weka.attributeSelection.GainRatioAttributeEval	50	0.920191
weka.classifiers.lazy.IBk	weka.attributeSelection.GainRatioAttributeEval	100	0.923466
weka.classifiers.lazy.IBk	weka.attributeSelection.GainRatioAttributeEval	200	0.936569
weka.classifiers.lazy.IBk	weka.attributeSelection.SymmetricalUncertAttributeEval	5	0.949375
weka.classifiers.lazy.IBk	weka.attributeSelection.SymmetricalUncertAttributeEval	6	0.920488
weka.classifiers.lazy.IBk	weka.attributeSelection.SymmetricalUncertAttributeEval	7	0.942228
weka.classifiers.lazy.IBk	weka.attributeSelection.SymmetricalUncertAttributeEval	8	0.951757
weka.classifiers.lazy.IBk	weka.attributeSelection.SymmetricalUncertAttributeEval	9	0.943717
weka.classifiers.lazy.IBk	weka.attributeSelection.SymmetricalUncertAttributeEval	10	0.900238
weka.classifiers.lazy.IBk	weka.attributeSelection.SymmetricalUncertAttributeEval	20	0.949375
weka.classifiers.lazy.IBk	weka.attributeSelection.SymmetricalUncertAttributeEval	50	0.925849
weka.classifiers.lazy.IBk	weka.attributeSelection.SymmetricalUncertAttributeEval	100	0.961584
weka.classifiers.lazy.IBk	weka.attributeSelection.SymmetricalUncertAttributeEval	200	0.954437
weka.classifiers.lazy.IBk	weka.attributeSelection.ReliefFAttributeEval	5	0.842466
weka.classifiers.lazy.IBk	weka.attributeSelection.ReliefFAttributeEval	6	0.80137
weka.classifiers.lazy.IBk	weka.attributeSelection.ReliefFAttributeEval	7	0.829065
weka.classifiers.lazy.IBk	weka.attributeSelection.ReliefFAttributeEval	8	0.822216
weka.classifiers.lazy.IBk	weka.attributeSelection.ReliefFAttributeEval	9	0.830554
weka.classifiers.lazy.IBk	weka.attributeSelection.ReliefFAttributeEval	10	0.83115
weka.classifiers.lazy.IBk	weka.attributeSelection.ReliefFAttributeEval	20	0.94461
weka.classifiers.lazy.IBk	weka.attributeSelection.ReliefFAttributeEval	50	0.899643
weka.classifiers.lazy.IBk	weka.attributeSelection.ReliefFAttributeEval	100	0.918999
weka.classifiers.lazy.IBk	weka.attributeSelection.ReliefFAttributeEval	200	0.939547
weka.classifiers.lazy.IBk	edu.fau.weka.wrappers.ReliefFWeightedWrapper	5	0.842466
weka.classifiers.lazy.IBk	edu.fau.weka.wrappers.ReliefFWeightedWrapper	6	0.846337
weka.classifiers.lazy.IBk	edu.fau.weka.wrappers.ReliefFWeightedWrapper	7	0.878797
weka.classifiers.lazy.IBk	edu.fau.weka.wrappers.ReliefFWeightedWrapper	8	0.844848
weka.classifiers.lazy.IBk	edu.fau.weka.wrappers.ReliefFWeightedWrapper	9	0.83919
weka.classifiers.lazy.IBk	edu.fau.weka.wrappers.ReliefFWeightedWrapper	10	0.849315
weka.classifiers.lazy.IBk	edu.fau.weka.wrappers.ReliefFWeightedWrapper	20	0.977963
weka.classifiers.lazy.IBk	edu.fau.weka.wrappers.ReliefFWeightedWrapper	50	0.945801
weka.classifiers.lazy.IBk	edu.fau.weka.wrappers.ReliefFWeightedWrapper	100	0.950864
weka.classifiers.lazy.IBk	edu.fau.weka.wrappers.ReliefFWeightedWrapper	200	0.923466
